X	Y
0	0
0.02	-0.0004
0.04	-0.0016
0.06	-0.0036
0.08	-0.0064
0.1	-0.00972111
0.12	-0.0138422
0.14	-0.0187633
0.16	-0.0244844
0.18	-0.0310056
0.2	-0.0383267
0.22	-0.0464478
0.24	-0.0553689
0.26	-0.06509
0.28	-0.0756111
0.3	-0.0869322
0.32	-0.0990533
0.34	-0.111974
0.36	-0.125696
0.38	-0.140217
0.4	-0.155538
0.42	-0.171659
0.44	-0.18858
0.46	-0.206301
0.48	-0.224822
0.5	-0.244143
0.52	-0.264264
0.54	-0.285186
0.56	-0.306907
0.58	-0.329428
0.6	-0.352749
0.62	-0.37687
0.64	-0.401791
0.66	-0.427512
0.68	-0.454033
0.7	-0.481354
0.72	-0.509476
0.74	-0.538397
0.76	-0.568118
0.78	-0.598639
0.8	-0.62996
0.82	-0.662081
0.84	-0.695002
0.86	-0.728723
0.88	-0.763244
0.9	-0.798566
0.92	-0.834687
0.94	-0.871608
0.96	-0.909329
0.98	-0.94785
1	-0.987171

Аналитическое решение 

0	-0
0.02	-0.0004
0.04	-0.0016
0.06	-0.0036
0.08	-0.0064
0.1	-0.01
0.12	-0.0144
0.14	-0.0196
0.16	-0.0256
0.18	-0.0324
0.2	-0.04
0.22	-0.0484
0.24	-0.0576
0.26	-0.0676
0.28	-0.0784
0.3	-0.09
0.32	-0.1024
0.34	-0.1156
0.36	-0.1296
0.38	-0.1444
0.4	-0.16
0.42	-0.1764
0.44	-0.1936
0.46	-0.2116
0.48	-0.2304
0.5	-0.25
0.52	-0.2704
0.54	-0.2916
0.56	-0.3136
0.58	-0.3364
0.6	-0.36
0.62	-0.3844
0.64	-0.4096
0.66	-0.4356
0.68	-0.4624
0.7	-0.49
0.72	-0.5184
0.74	-0.5476
0.76	-0.5776
0.78	-0.6084
0.8	-0.64
0.82	-0.6724
0.84	-0.7056
0.86	-0.7396
0.88	-0.7744
0.9	-0.81
0.92	-0.8464
0.94	-0.8836
0.96	-0.9216
0.98	-0.9604
1	-1
