T	X	U
0:
	0:	 -0
	0.1:	 0.1
	0.2:	 0.2
	0.3:	 0.3
	0.4:	 0.4
	0.5:	 0.5
	0.6:	 0.6
	0.7:	 0.7
	0.8:	 0.8
	0.9:	 0.9
	1:	 1
0.1:
	0:	 -0
	0.1:	 0.12
	0.2:	 0.24
	0.3:	 0.36
	0.4:	 0.48
	0.5:	 0.6
	0.6:	 0.72
	0.7:	 0.84
	0.8:	 0.96
	0.9:	 1.08
	1:	 1.2
0.2:
	0:	 0.0909091
	0.1:	 0.245818
	0.2:	 0.400727
	0.3:	 0.555636
	0.4:	 0.710545
	0.5:	 0.865455
	0.6:	 1.02036
	0.7:	 1.17527
	0.8:	 1.33018
	0.9:	 1.48509
	1:	 1.64
0.3:
	0:	 0.300763
	0.1:	 0.511487
	0.2:	 0.722211
	0.3:	 0.932934
	0.4:	 1.14366
	0.5:	 1.35438
	0.6:	 1.56511
	0.7:	 1.77583
	0.8:	 1.98655
	0.9:	 2.19728
	1:	 2.408
0.4:
	0:	 0.693684
	0.1:	 0.990076
	0.2:	 1.28647
	0.3:	 1.58286
	0.4:	 1.87925
	0.5:	 2.17564
	0.6:	 2.47203
	0.7:	 2.76843
	0.8:	 3.06482
	0.9:	 3.36121
	1:	 3.6576
0.5:
	0:	 1.38663
	0.1:	 1.81183
	0.2:	 2.23704
	0.3:	 2.66225
	0.4:	 3.08746
	0.5:	 3.51267
	0.6:	 3.93788
	0.7:	 4.36309
	0.8:	 4.7883
	0.9:	 5.21351
	1:	 5.63872
0.6:
	0:	 2.57897
	0.1:	 3.19583
	0.2:	 3.81269
	0.3:	 4.42956
	0.4:	 5.04642
	0.5:	 5.66328
	0.6:	 6.28014
	0.7:	 6.897
	0.8:	 7.51386
	0.9:	 8.13072
	1:	 8.74758
0.7:
	0:	 4.60191
	0.1:	 5.50232
	0.2:	 6.40272
	0.3:	 7.30313
	0.4:	 8.20353
	0.5:	 9.10394
	0.6:	 10.0043
	0.7:	 10.9047
	0.8:	 11.8052
	0.9:	 12.7056
	1:	 13.606
0.8:
	0:	 7.99893
	0.1:	 9.31759
	0.2:	 10.6362
	0.3:	 11.9549
	0.4:	 13.2736
	0.5:	 14.5922
	0.6:	 15.9109
	0.7:	 17.2296
	0.8:	 18.5482
	0.9:	 19.8669
	1:	 21.1855
0.9:
	0:	 13.6556
	0.1:	 15.5903
	0.2:	 17.5249
	0.3:	 19.4596
	0.4:	 21.3942
	0.5:	 23.3289
	0.6:	 25.2636
	0.7:	 27.1982
	0.8:	 29.1329
	0.9:	 31.0676
	1:	 33.0022
1:
	0:	 23.0079
	0.1:	 25.8491
	0.2:	 28.6902
	0.3:	 31.5313
	0.4:	 34.3725
	0.5:	 37.2136
	0.6:	 40.0548
	0.7:	 42.8959
	0.8:	 45.7371
	0.9:	 48.5782
	1:	 51.4193
